what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.server.http.core,1.0.200.v20090429,"org.eclipse.wst.server.http.core",1351683106969
started,bundle,org.eclipse.wst.server.preview.adapter,1.1.0.v20090311b,"org.eclipse.wst.server.preview.adapter",1351683106983
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1351683107606
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351683107636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351683110483
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1351683111220
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351683111260
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1351683112393
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351683143697
error,log,,,"GlassFish: IsReady is failing=",1351683155447
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351683175577
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1351683176396
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1351683177557
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1351683177745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351683181940
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351683183691
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351683187821
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351683197801
activated,editor,org.jboss.tools.jst.jsp,3.3.1.v20120715-0241-H93-Final,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1351683224396
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1351683224396
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1351683226550
opened,editor,org.jboss.tools.jst.jsp,3.3.1.v20120715-0241-H93-Final,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1351683226771
activated,editor,org.jboss.tools.jst.jsp,3.3.1.v20120715-0241-H93-Final,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1351683226892
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351683228719
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1351683229565
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351683229587
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1351683229735
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1351683229788
activated,editor,org.jboss.tools.jst.jsp,3.3.1.v20120715-0241-H93-Final,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1351683235357
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1351683235358
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1351683235834
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1351683243088
