what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352909197159
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1352909210578
opened,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1352909210960
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1352909211007
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1352909211032
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1352909213051
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352909214515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352909216456
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1352909217785
closed,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1352909217787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352909237310
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1352909239737
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1352909239773
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1352909239807
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1352909240284
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1352909240640
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1352909241089
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352909243471
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1352909244864
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352909251298
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352909258488
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1352909263463
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1352909265015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352909266361
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352909270274
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352909272744
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1352909273907
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1352909274294
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352909275302
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352909277515
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352909281489
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1352909283508
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352909284316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352909285793
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352909287739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352909295782
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352909300179
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352909303744
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1352909311620
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352909311987
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1352909313891
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352909314825
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352909316522
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352909317276
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352909353604
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1352909355050
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.stop",1352909358634
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352909359761
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352909374421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352909375895
